TISSUE,CELL_LINE_NAME
Pancreas,PANC-10-05
Pancreas,PL18
Pancreas,PL4
Pancreas,PSN1
Pancreas,SU8686
Pancreas,SUIT-2
Pancreas,SW1990
Pancreas,YAPC
Peripheral Nervous System,BE2-M17
Peripheral Nervous System,CHP-134
Peripheral Nervous System,CHP-212
Peripheral Nervous System,GI-ME-N
Peripheral Nervous System,GOTO
Peripheral Nervous System,IMR-5
Peripheral Nervous System,KELLY
Peripheral Nervous System,KP-N-YN
Peripheral Nervous System,NB(TU)1-10
Peripheral Nervous System,NB1
Peripheral Nervous System,NB10
Peripheral Nervous System,NB12
Peripheral Nervous System,NB13
Peripheral Nervous System,NB14
Peripheral Nervous System,NB69
Peripheral Nervous System,NB7
Peripheral Nervous System,NH-12
Peripheral Nervous System,SIMA
Peripheral Nervous System,SK-N-AS
Peripheral Nervous System,SK-N-DZ
Peripheral Nervous System,SK-N-FI
Peripheral Nervous System,SK-N-SH
Peripheral Nervous System,TGW
Skin,A101D
Skin,A2058
Skin,A375
Skin,C32
Skin,CHL-1
Skin,COLO-679
Skin,COLO-792
Skin,COLO-829
Skin,G-361
Skin,GAK
Skin,HMV-II
Skin,HT-144
Skin,IGR-1
Skin,IGR-37
Skin,IST-MEL1
Skin,LOXIMVI
Skin,M14
Skin,MEL-JUSO
Skin,MEWO
Skin,RPMI-7951
Skin,SH-4
Skin,SK-MEL-1
Skin,SK-MEL-2
Skin,SK-MEL-24
Skin,UACC-257
Skin,UACC-62
Skin,WM-115
Skin,WM1552C
Skin,WM278
Skin,WM35
Skin,WM793B
Soft Tissue,A204
Soft Tissue,G-402
Soft Tissue,GCT
Soft Tissue,HT-1080
Soft Tissue,HS-633T
Soft Tissue,KYM-1
Soft Tissue,MFH-INO
Soft Tissue,RD
Soft Tissue,RH-41
Soft Tissue,RKN
Soft Tissue,SJRH30
Soft Tissue,SK-LMS-1
Soft Tissue,SW684
Soft Tissue,SW872
Soft Tissue,SW982
Soft Tissue,VA-ES-BJ
Stomach,23132-87
Stomach,AGS
Stomach,ECC10
Stomach,FU97
Stomach,GCIY
Stomach,HGC-27
Stomach,HSC-39
Stomach,HS-746T
Stomach,IM-95
Stomach,KATOIII
Stomach,MKN1
Stomach,MKN28
Stomach,MKN45
Stomach,NCI-N87
Stomach,NUGC-3
